continent,iso_code,location,year,month,weekday,date,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,tests_units
Oceania,WSM,Samoa,2020,12,2,2020-12-16,,,,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-17,,,,,,,
Oceania,WSM,Samoa,2020,12,4,2020-12-18,,,,,,,
Oceania,WSM,Samoa,2020,12,5,2020-12-19,,,,,,,
Oceania,WSM,Samoa,2020,12,6,2020-12-20,,,,,,,
Oceania,WSM,Samoa,2020,12,0,2020-12-21,,,,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-22,,,,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-23,,,,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-24,,,,,,,
Oceania,WSM,Samoa,2020,12,4,2020-12-25,,,,,,,
Oceania,WSM,Samoa,2020,12,5,2020-12-26,,,,,,,
Oceania,WSM,Samoa,2020,12,6,2020-12-27,,,,,,,
Oceania,WSM,Samoa,2020,12,0,2020-12-28,,,,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-29,,,,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-30,,,,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-31,,,,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-01,,,,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-02,,,,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-03,,,,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-04,,,,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-05,,,,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-06,,,,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-07,,,,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-08,,,,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-09,,,,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-10,,,,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-11,,,,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-12,,,,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-13,,,,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-14,,,,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-15,,,,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-16,,,,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-17,,,,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-18,,,,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-19,,,,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-20,,,,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-21,,,,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-22,,,,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-23,,,,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-24,,,,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-25,,,,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-26,,,,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-27,,,,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-28,,,,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-29,,,,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-30,,,,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-31,,,,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-01,,,,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-02,,,,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-03,,,,,,,
Oceania,WSM,Samoa,2021,2,3,2021-02-04,,,,,,,
Oceania,WSM,Samoa,2021,2,4,2021-02-05,,,,,,,
Oceania,WSM,Samoa,2021,2,5,2021-02-06,,,,,,,
Oceania,WSM,Samoa,2021,2,6,2021-02-07,,,,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-08,,,,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-09,,,,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-10,,,,,,,
Oceania,WSM,Samoa,2021,2,3,2021-02-11,,,,,,,
Oceania,WSM,Samoa,2021,2,4,2021-02-12,,,,,,,
Oceania,WSM,Samoa,2021,2,5,2021-02-13,,,,,,,
Oceania,WSM,Samoa,2021,2,6,2021-02-14,,,,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-15,,,,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-16,,,,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-17,,,,,,,
Oceania,WSM,Samoa,2021,2,3,2021-02-18,,,,,,,
Oceania,WSM,Samoa,2021,2,4,2021-02-19,,,,,,,
Oceania,WSM,Samoa,2021,2,5,2021-02-20,,,,,,,
Oceania,WSM,Samoa,2021,2,6,2021-02-21,,,,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-22,,,,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-23,,,,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-24,,,,,,,
